"driver_id","unique_users","unique_rides","decline_count","avg_rating","lost_total_usd","gained_total_usd"
"108559","21","21","6","2.67","137.07","292.84999999999997"
"117338","22","22","6","2.25","106.62","261.92"
"111993","18","18","5","3.40","112.14000000000001","251.79000000000002"
"111014","18","18","5","3.67","102.16000000000001","188.35000000000002"
"103860","21","21","5","1.00","70.47","237.63"
"114994","15","15","5","3.20","110.37","189.22000000000003"
"101635","12","12","5","2.00","122.67","111.01"
"101701","14","14","4","1.75","83.68","164.02"
"101683","11","11","4","3.75","80.6","103.01"
"101665","12","12","4","3.33","90.63","126.95"
"101296","21","21","4","1.67","72.53","292.24999999999994"
"101090","16","16","4","","90.46000000000001","229.78"
"101018","21","21","4","","89.32000000000001","375.8800000000001"
"113835","19","19","4","4.50","69.89","236.71"
"113712","15","15","4","4.00","67.72","218.81000000000003"
"117620","16","16","4","4.67","91.25","221.5"
"112916","16","16","4","2.75","89.04","241.48"
"112859","17","17","4","2.33","93.77","255.20000000000002"
"116356","20","20","4","3.00","79.38000000000001","324.97"
"111632","23","23","4","3.50","79.33","321.84000000000003"
"111616","19","19","4","5.00","69.34","275.34"
"111457","21","21","4","3.67","79.13","284.36"
"111277","19","19","4","3.00","82.13","276.33"
"110318","19","19","4","4.00","87.27","286.69"
"110239","22","22","4","2.75","92.53999999999999","287.87"
"115492","20","20","4","5.00","81.57000000000001","263.36"
"109738","17","17","4","1.75","68.99000000000001","206.53"
"115481","13","13","4","4.67","93.08","167.24"
"109616","18","18","4","3.75","70.66","268.33"
"100203","14","14","4","3.00","88.88","157.20999999999998"
"109611","16","16","4","3.75","83.89","234.47"
"109572","18","18","4","2.50","80.94","256.26"
"109346","13","13","4","4.33","90.26","151.64"
"108965","22","22","4","5.00","79.11000000000001","334.9"
"108953","20","20","4","3.50","89.25","256.09000000000003"
"108417","21","21","4","2.50","88.04","338.59000000000003"
"108391","20","21","4","3.00","51.03","311.26"
"108245","23","23","4","3.00","67.75999999999999","394.41999999999996"
"108174","19","19","4","3.50","73.96","253.22999999999996"
"107983","19","19","4","4.33","77.6","220.25"
"107806","12","12","4","4.00","88.32","169.98000000000002"
"107723","12","12","4","2.33","77.98","117.6"
"107518","12","12","4","2.50","91.74000000000001","161.84"
"114700","11","11","4","4.00","73.39","105.71999999999998"
"107507","15","15","4","2.33","89.92","202.90000000000003"
"114055","18","18","4","1.00","78.42","244.65"
"107455","17","17","4","4.50","91.41","268.45"
"107242","21","21","4","4.67","67.48","320.66"
"106802","16","16","4","3.00","77.71000000000001","219.96999999999997"
"106702","21","21","4","1.50","71.08","328.13"
"106187","14","14","4","5.00","77.41","182.4"
"105965","21","21","4","3.50","94.47999999999999","256.91"
"116720","17","17","4","3.33","71.30000000000001","231.04999999999998"
"105832","14","14","4","3.25","86.25999999999999","169.65"
"114018","20","20","4","3.00","65.59","282.6"
"105824","18","18","4","4.50","92.77","195.78000000000003"
"105450","14","14","4","5.00","89.97","136.45"
"105147","20","20","4","4.50","77.98","331.04999999999995"
"105448","20","20","4","","79.27000000000001","311.12000000000006"
"113937","12","12","4","2.33","79.42000000000002","172.82"
"104444","14","14","4","3.25","72.28","177"
"104305","16","16","4","3.00","84.94999999999999","174.42"
"103688","14","14","4","3.50","91.75999999999999","164.64"
"102796","11","11","4","1.00","84.6","146.23"
"102140","16","16","4","3.50","66.05","211.10000000000002"
"111177","15","15","3","4.33","67.14","222.24999999999997"
"100028","16","16","3","3.00","45.86","211"
"100054","10","10","3","4.00","34.93","119.80000000000001"
"100092","17","17","3","4.00","59.72","247.38000000000002"
"100104","20","20","3","","66.66","314.68"
"100117","25","25","3","5.00","67.06","388.07000000000005"
"100126","19","19","3","4.00","57.379999999999995","258.79"
"100180","14","14","3","3.67","62.68","201.89999999999998"
"100197","17","17","3","4.33","51.18","247.87000000000003"
"100284","25","25","3","2.33","73.13","332.88000000000005"
"100337","22","22","3","2.00","61.07","344.2099999999999"
"100343","16","16","3","3.00","76.44","286.97"
"100384","19","19","3","2.67","73.75","281.41"
"100394","17","17","3","4.00","51.510000000000005","265.64000000000004"
"100418","10","10","3","2.50","70.7","102.35000000000001"
"100499","14","14","3","4.33","54.71000000000001","211.51999999999998"
"100505","17","17","3","2.00","44.54","216.56000000000003"
"100514","14","14","3","1.00","39.5","150.91"
"100539","24","24","3","1.00","51.14","380.86999999999995"
"100545","9","9","3","","76.01","157.85000000000002"
"100551","15","15","3","4.00","56.84","217.48"
"100590","22","22","3","3.33","50.67","357.66"
"100682","19","19","3","2.50","74.26","293.03000000000003"
"100748","15","15","3","4.00","59.85","203.95"
"100767","13","13","3","2.00","67.14","164.87"
"100839","12","12","3","1.33","45.099999999999994","160.32"
"100843","12","12","3","5.00","72.6","178.23"
"100853","15","15","3","","83.51","270.76"
"100865","16","16","3","2.67","53.43","242.41"
"100943","22","22","3","4.50","73.78","353.24999999999994"
"100998","15","15","3","1.50","63.53","178.32"
"101051","14","14","3","3.50","70.37","220.29999999999995"
"101103","20","20","3","1.00","55.7","278.51"
"101172","23","23","3","3.67","61.1","307.90999999999997"
"101215","19","19","3","3.00","63.96","254.11999999999998"
"101297","16","16","3","2.67","49.22","226.57999999999998"
"101305","21","21","3","5.00","48.98","334.74"
"101435","21","21","3","2.00","59.48","350.09999999999997"
"101574","24","24","3","3.33","55.68","336.6700000000001"
"101581","15","15","3","3.00","54.2","249.79"
"101603","15","15","3","2.50","58.46","181.14000000000001"
"101625","16","16","3","3.00","64.11","281.40000000000003"
"101790","12","12","3","4.33","49.349999999999994","192.9"
"101981","15","15","3","1.00","71.00999999999999","224.77"
"101986","10","10","3","2.00","48.849999999999994","126.61"
"102002","26","26","3","3.00","78.92999999999999","403.7699999999999"
"102013","17","17","3","5.00","72.75","297.56999999999994"
"102031","12","12","3","3.33","66.58","169.07"
"102090","17","17","3","3.00","59.510000000000005","256.16999999999996"
"102151","16","16","3","2.33","55.739999999999995","210.70999999999998"
"102176","17","17","3","4.00","51.17","274.72"
"102188","20","20","3","1.33","78.07000000000001","372.29999999999995"
"102214","20","20","3","3.50","55.019999999999996","235.98000000000002"
"102278","17","17","3","3.00","53.86","252.76999999999998"
"102365","23","23","3","1.50","44.629999999999995","394.68999999999994"
"102461","16","16","3","3.00","81.3","281.95"
"102480","16","16","3","2.00","73.44","270.84"
"102481","12","12","3","3.50","82.9","188.09"
"102671","22","22","3","3.00","55.36","365.85"
"102728","16","16","3","2.33","55.25","238.45999999999998"
"102795","21","21","3","4.00","47.3","348.66"
"102838","17","17","3","5.00","59.79","236.05"
"102849","10","10","3","2.67","71.52","163.37"
"102981","11","11","3","3.00","58.06","149.72"
"102982","16","16","3","5.00","48.65","200.67000000000002"
"103012","18","18","3","3.50","47.769999999999996","262.65999999999997"
"103053","15","15","3","1.00","61.440000000000005","210.34"
"103068","13","13","3","4.00","82.25","187.29"
"103126","15","15","3","4.00","69.67","205.72000000000003"
"103156","18","18","3","","37.260000000000005","264.34000000000003"
"103305","15","15","3","1.00","50.92","186.11"
"103367","15","15","3","2.33","63.8","272.29"
"103375","15","15","3","1.00","60.489999999999995","228.52"
"103403","23","23","3","2.50","63.46","366.72999999999996"
"103426","15","15","3","1.00","54.85","184.73"
"103457","14","14","3","3.50","51","165.44"
"103495","18","18","3","4.67","34.56","288"
"103643","19","19","3","","56.11","273.03"
"103668","18","18","3","3.33","59.6","251.54000000000005"
"103707","15","15","3","3.50","56.230000000000004","199.45999999999998"
"103746","17","17","3","1.00","73.32","283.01"
"103783","20","20","3","4.67","60.459999999999994","303.01"
"103811","18","18","3","2.50","66.11","226.74"
"103921","13","13","3","3.33","58.44","130.58"
"103940","13","13","3","","68.83","158.04"
"103961","17","17","3","3.33","40.9","281.62"
"103969","21","21","3","3.00","64.86","306.98999999999995"
"103998","19","19","3","5.00","45.599999999999994","332.35999999999996"
"104017","12","12","3","4.50","36.61","155.95999999999998"
"104029","13","13","3","2.50","53.00999999999999","235.56000000000003"
"104031","21","21","3","1.00","56.48","345.61999999999995"
"104077","16","16","3","3.67","46.42","204.94"
"104081","21","21","3","3.00","49.629999999999995","305.9"
"104098","15","15","3","1.00","61.31","181.78999999999996"
"104116","17","17","3","5.00","45.81","222.71"
"104128","13","13","3","1.00","73.43","176.26"
"104174","20","20","3","4.00","44.040000000000006","364.99999999999994"
"104264","13","13","3","2.50","66.63","172.63"
"104268","18","18","3","3.50","46.620000000000005","319.61"
"104333","13","13","3","3.33","66.49000000000001","202.08999999999997"
"104347","16","16","3","3.67","76.96","213.55"
"104380","22","22","3","1.00","38.81","336.03"
"104414","19","19","3","3.00","62.69","297.81"
"104494","10","10","3","3.00","74.21","122.07999999999998"
"104605","14","14","3","2.33","57.769999999999996","157.41"
"104638","17","17","3","3.67","47.18","258.28000000000003"
"104651","13","13","3","3.00","61.64","221.85"
"104671","13","13","3","3.00","47.83","198.17999999999998"
"104673","13","13","3","3.00","65.77","176.73999999999998"
"104769","12","12","3","1.50","67.4","110.61"
"104844","17","17","3","3.00","70.14","231"
"104915","14","14","3","2.33","43.870000000000005","156.75"
"104917","18","18","3","2.50","62.09","251.12999999999997"
"104973","11","11","3","5.00","40.54","179.97"
"105000","21","21","3","1.00","58.91","298.94"
"105002","19","19","3","2.00","57.58","253.3"
"105169","23","23","3","4.00","58.82","368.40000000000003"
"105285","22","22","3","4.00","44.29","353.52"
"105383","17","17","3","3.33","63.330000000000005","228.76"
"105415","16","16","3","3.00","60.1","206.97999999999996"
"105433","17","17","3","2.50","57","268.73"
"105498","18","18","3","5.00","70.2","226.17000000000002"
"105510","17","17","3","3.00","60.269999999999996","243.23000000000002"
"105543","18","18","3","4.50","71.63","243.85999999999996"
"105557","13","13","3","2.00","56.480000000000004","162.95000000000002"
"105620","14","14","3","3.33","67.18","189.11"
"105676","19","19","3","3.67","50.39","260.28000000000003"
"105717","19","19","3","1.00","69.14","299.43"
"105776","21","21","3","3.00","38.92","368.74999999999994"
"105806","22","22","3","3.50","81.81","362.15999999999997"
"105946","19","19","3","","57.730000000000004","259.3"
"105971","13","13","3","3.00","65.93","170.42"
"105995","16","16","3","2.00","64.15","275.72999999999996"
"106010","18","18","3","2.33","53.529999999999994","265.43999999999994"
"106072","16","16","3","4.00","55.84","185.3"
"106085","17","17","3","4.50","74.03","234.94999999999996"
"106088","14","14","3","4.67","48.67","224.62999999999997"
"106195","17","17","3","1.00","69.13","221.43999999999997"
"106256","19","19","3","5.00","66.18","326.6700000000001"
"106266","25","25","3","1.00","66.99","388.65999999999997"
"106269","14","14","3","3.00","68.82000000000001","216.95"
"106328","15","15","3","3.33","73","209.08999999999997"
"106451","20","20","3","3.67","50.68","349.51"
"106503","22","22","3","3.00","53.55","376.3"
"106556","17","17","3","","52.93","251.20000000000002"
"106567","18","18","3","4.00","72.89","257.51"
"106571","16","16","3","3.00","52.94","275"
"106580","17","17","3","2.00","54.98","224.84000000000003"
"106582","30","30","3","1.00","46.25","553.78"
"106589","12","12","3","5.00","58.06","189.54999999999998"
"106668","13","13","3","","77.84","160.31"
"106722","12","12","3","4.50","56.78999999999999","147.79"
"106846","17","17","3","1.00","59.35000000000001","210.35999999999999"
"106877","12","12","3","2.00","48.94","188.35000000000002"
"107043","8","9","3","3.00","82.71000000000001","119.28999999999999"
"107100","10","10","3","3.00","64.07","110.52"
"107112","23","23","3","2.00","70.78","401.9799999999999"
"107153","15","15","3","3.00","61.75","259.54999999999995"
"107404","19","19","3","4.00","73.69999999999999","272.57"
"107409","15","15","3","4.33","57.5","243.60999999999999"
"107460","9","9","3","1.00","72.28999999999999","122.27999999999997"
"107565","22","22","3","3.00","59.97","321.18"
