"driver_id","users","rides","rides_completed","rides_canceled","age_range","platform","reviews","avg_rating"
"106498","3","3","3","0","35-44","ios","2","4.00"
"106498","2","2","1","1","45-54","ios","0",""
"106498","2","2","2","0","Unknown","ios","2","4.00"
"106498","1","1","1","0","Unknown","web","1","3.00"
"106499","2","2","2","0","18-24","android","2","1.50"
"106499","1","1","1","0","18-24","ios","1","5.00"
"106499","2","2","2","0","25-34","android","1","4.00"
"106499","1","1","1","0","35-44","android","1","4.00"
"106499","5","5","5","0","35-44","ios","4","3.50"
"106499","1","1","1","0","35-44","web","1","1.00"
"106499","1","1","1","0","45-54","android","1","1.00"
"106499","2","2","2","0","45-54","ios","0",""
"106499","2","2","1","1","Unknown","android","1","1.00"
"106499","2","2","1","1","Unknown","ios","1","4.00"
"106499","1","1","0","1","Unknown","web","0",""
"106500","2","2","1","1","18-24","ios","1","1.00"
"106500","4","4","3","1","25-34","ios","3","1.67"
"106500","1","1","1","0","35-44","android","0",""
"106500","4","4","4","0","35-44","ios","4","3.50"
"106500","1","1","1","0","35-44","web","1","5.00"
"106500","4","4","3","1","Unknown","ios","1","3.00"
"106501","2","2","2","0","18-24","android","1","4.00"
"106501","4","4","4","0","18-24","ios","3","2.00"
"106501","1","1","1","0","25-34","android","1","1.00"
"106501","2","2","2","0","25-34","ios","1","2.00"
"106501","1","1","1","0","35-44","android","0",""
"106501","1","1","1","0","35-44","web","0",""
"106501","1","1","1","0","45-54","ios","0",""
"106501","2","2","2","0","Unknown","android","1","5.00"
"106501","3","3","2","1","Unknown","ios","0",""
"106502","1","1","0","1","25-34","ios","0",""
"106502","5","5","5","0","35-44","android","4","3.75"
"106502","2","2","1","1","35-44","ios","0",""
"106502","1","1","1","0","35-44","web","0",""
"106502","1","1","1","0","Unknown","ios","0",""
"106503","1","1","0","1","18-24","ios","0",""
"106503","2","2","2","0","25-34","android","1","2.00"
"106503","1","1","1","0","25-34","ios","0",""
"106503","3","3","3","0","35-44","android","2","2.50"
"106503","4","4","4","0","35-44","ios","2","2.50"
"106503","2","2","2","0","35-44","web","2","2.50"
"106503","1","1","1","0","45-54","android","1","4.00"
"106503","2","2","2","0","45-54","ios","2","3.00"
"106503","1","1","1","0","Unknown","android","1","4.00"
"106503","4","4","4","0","Unknown","ios","3","2.00"
"106503","1","1","1","0","Unknown","web","0",""
"106504","2","2","2","0","25-34","ios","2","3.00"
"106504","1","1","1","0","25-34","web","1","3.00"
"106504","3","3","2","1","35-44","ios","2","4.50"
"106504","1","1","1","0","Unknown","android","1","1.00"
"106504","4","4","4","0","Unknown","ios","3","2.67"
"106504","1","1","1","0","Unknown","web","1","1.00"
"106505","2","2","2","0","18-24","ios","1","4.00"
"106505","1","1","1","0","25-34","android","0",""
"106505","2","2","1","1","25-34","ios","1","4.00"
"106505","1","1","1","0","35-44","android","0",""
"106505","5","5","5","0","35-44","ios","4","2.50"
"106505","1","1","0","1","35-44","web","0",""
"106505","1","1","1","0","45-54","ios","1","2.00"
"106505","1","1","1","0","Unknown","android","1","4.00"
"106505","4","4","4","0","Unknown","ios","3","1.33"
"106506","1","1","1","0","18-24","android","0",""
"106506","2","2","2","0","18-24","ios","2","4.50"
"106506","1","1","0","1","18-24","web","0",""
"106506","1","1","1","0","25-34","android","0",""
"106506","3","3","3","0","25-34","ios","1","1.00"
"106506","1","1","0","1","25-34","web","0",""
"106506","3","3","3","0","35-44","android","2","3.00"
"106506","3","3","3","0","35-44","ios","3","5.00"
"106506","1","1","1","0","35-44","web","1","5.00"
