"funnel_step","funnel_name","user_ids","platform","age_range","total_usd","rides","cancellations","total_reviews","avg_rating","daily_date"
"3","rides_requested","114133","ios","35-44","","1","1","","","2021-11-15"
"3","rides_requested","113636","ios","35-44","","1","0","","","2021-11-15"
"3","rides_requested","114277","ios","35-44","","1","1","","","2021-11-15"
"3","rides_requested","113781","ios","35-44","","1","0","","","2021-11-15"
"3","rides_requested","113558","ios","35-44","","1","0","","","2021-11-15"
"3","rides_requested","113641","ios","35-44","","1","0","","","2021-11-15"
"3","rides_requested","113855","ios","35-44","","1","1","","","2021-11-15"
"3","rides_requested","113733","ios","35-44","","1","1","","","2021-11-15"
"3","rides_requested","113895","ios","35-44","","1","1","","","2021-11-15"
"3","rides_requested","113685","ios","35-44","","1","1","","","2021-11-15"
"3","rides_requested","113979","ios","35-44","","1","1","","","2021-11-15"
"3","rides_requested","114243","ios","35-44","","1","0","","","2021-11-15"
"3","rides_requested","113609","ios","35-44","","1","1","","","2021-11-15"
"3","rides_requested","113567","ios","35-44","","1","0","","","2021-11-15"
"3","rides_requested","113306","ios","35-44","","1","0","","","2021-11-15"
"3","rides_requested","113407","ios","35-44","","1","0","","","2021-11-15"
"3","rides_requested","113238","ios","35-44","","1","0","","","2021-11-15"
"3","rides_requested","113968","ios","35-44","","1","0","","","2021-11-15"
"3","rides_requested","114270","ios","35-44","","1","0","","","2021-11-15"
"3","rides_requested","113932","ios","35-44","","1","0","","","2021-11-15"
"3","rides_requested","113750","ios","35-44","","1","0","","","2021-11-15"
"3","rides_requested","113495","ios","35-44","","1","1","","","2021-11-15"
"3","rides_requested","113727","ios","35-44","","1","1","","","2021-11-15"
"3","rides_requested","114072","ios","35-44","","1","0","","","2021-11-15"
"3","rides_requested","113978","ios","35-44","","1","1","","","2021-11-15"
"3","rides_requested","113350","ios","35-44","","1","1","","","2021-11-15"
"3","rides_requested","113625","ios","35-44","","1","1","","","2021-11-15"
"3","rides_requested","113630","ios","35-44","","1","0","","","2021-11-15"
"3","rides_requested","113726","ios","35-44","","1","1","","","2021-11-15"
"3","rides_requested","113748","ios","35-44","","1","0","","","2021-11-15"
"3","rides_requested","113521","ios","35-44","","1","1","","","2021-11-15"
"3","rides_requested","113985","ios","35-44","","1","1","","","2021-11-15"
"3","rides_requested","114313","ios","35-44","","1","0","","","2021-11-15"
"3","rides_requested","113877","ios","35-44","","1","0","","","2021-11-15"
"3","rides_requested","113455","ios","35-44","","1","0","","","2021-11-15"
"3","rides_requested","113439","ios","35-44","","1","1","","","2021-11-15"
"3","rides_requested","113408","ios","35-44","","1","0","","","2021-11-15"
"3","rides_requested","114057","ios","35-44","","1","0","","","2021-11-15"
