"funnel_step","funnel_name","users","platform","age_range","total_usd","rides","cancellations","total_reviews","avg_rating","daily_date"
"1","downloads","23","android","","","","","","","2021-01-01"
"1","downloads","44","ios","","","","","","","2021-01-01"
"1","downloads","3","web","","","","","","","2021-01-01"
"1","downloads","19","android","","","","","","","2021-01-02"
"1","downloads","46","ios","","","","","","","2021-01-02"
"1","downloads","10","web","","","","","","","2021-01-02"
"1","downloads","16","android","","","","","","","2021-01-03"
"1","downloads","36","ios","","","","","","","2021-01-03"
"1","downloads","5","web","","","","","","","2021-01-03"
"1","downloads","18","android","","","","","","","2021-01-04"
"1","downloads","53","ios","","","","","","","2021-01-04"
"1","downloads","5","web","","","","","","","2021-01-04"
"1","downloads","19","android","","","","","","","2021-01-05"
"1","downloads","42","ios","","","","","","","2021-01-05"
"1","downloads","2","web","","","","","","","2021-01-05"
"1","downloads","17","android","","","","","","","2021-01-06"
"1","downloads","44","ios","","","","","","","2021-01-06"
"1","downloads","8","web","","","","","","","2021-01-06"
"1","downloads","21","android","","","","","","","2021-01-07"
"1","downloads","40","ios","","","","","","","2021-01-07"
"1","downloads","8","web","","","","","","","2021-01-07"
"1","downloads","23","android","","","","","","","2021-01-08"
"1","downloads","38","ios","","","","","","","2021-01-08"
"1","downloads","7","web","","","","","","","2021-01-08"
"1","downloads","18","android","","","","","","","2021-01-09"
"1","downloads","32","ios","","","","","","","2021-01-09"
"1","downloads","5","web","","","","","","","2021-01-09"
"1","downloads","24","android","","","","","","","2021-01-10"
"1","downloads","43","ios","","","","","","","2021-01-10"
"1","downloads","6","web","","","","","","","2021-01-10"
"1","downloads","16","android","","","","","","","2021-01-11"
"1","downloads","31","ios","","","","","","","2021-01-11"
"1","downloads","5","web","","","","","","","2021-01-11"
"1","downloads","27","android","","","","","","","2021-01-12"
"1","downloads","34","ios","","","","","","","2021-01-12"
"1","downloads","12","web","","","","","","","2021-01-12"
"1","downloads","16","android","","","","","","","2021-01-13"
"1","downloads","46","ios","","","","","","","2021-01-13"
"1","downloads","5","web","","","","","","","2021-01-13"
"1","downloads","16","android","","","","","","","2021-01-14"
"1","downloads","30","ios","","","","","","","2021-01-14"
"1","downloads","8","web","","","","","","","2021-01-14"
"1","downloads","16","android","","","","","","","2021-01-15"
"1","downloads","40","ios","","","","","","","2021-01-15"
"1","downloads","4","web","","","","","","","2021-01-15"
"1","downloads","23","android","","","","","","","2021-01-16"
"1","downloads","50","ios","","","","","","","2021-01-16"
"1","downloads","6","web","","","","","","","2021-01-16"
"1","downloads","26","android","","","","","","","2021-01-17"
"1","downloads","34","ios","","","","","","","2021-01-17"
"1","downloads","3","web","","","","","","","2021-01-17"
"1","downloads","23","android","","","","","","","2021-01-18"
"1","downloads","41","ios","","","","","","","2021-01-18"
"1","downloads","7","web","","","","","","","2021-01-18"
"1","downloads","24","android","","","","","","","2021-01-19"
"1","downloads","43","ios","","","","","","","2021-01-19"
"1","downloads","8","web","","","","","","","2021-01-19"
"1","downloads","17","android","","","","","","","2021-01-20"
"1","downloads","53","ios","","","","","","","2021-01-20"
"1","downloads","2","web","","","","","","","2021-01-20"
"1","downloads","23","android","","","","","","","2021-01-21"
"1","downloads","36","ios","","","","","","","2021-01-21"
"1","downloads","4","web","","","","","","","2021-01-21"
"1","downloads","20","android","","","","","","","2021-01-22"
"1","downloads","33","ios","","","","","","","2021-01-22"
"1","downloads","7","web","","","","","","","2021-01-22"
"1","downloads","21","android","","","","","","","2021-01-23"
"1","downloads","40","ios","","","","","","","2021-01-23"
"1","downloads","4","web","","","","","","","2021-01-23"
"1","downloads","27","android","","","","","","","2021-01-24"
"1","downloads","37","ios","","","","","","","2021-01-24"
"1","downloads","5","web","","","","","","","2021-01-24"
"1","downloads","25","android","","","","","","","2021-01-25"
"1","downloads","45","ios","","","","","","","2021-01-25"
"1","downloads","8","web","","","","","","","2021-01-25"
"1","downloads","22","android","","","","","","","2021-01-26"
"1","downloads","32","ios","","","","","","","2021-01-26"
"1","downloads","7","web","","","","","","","2021-01-26"
"1","downloads","17","android","","","","","","","2021-01-27"
"1","downloads","37","ios","","","","","","","2021-01-27"
"1","downloads","7","web","","","","","","","2021-01-27"
"1","downloads","19","android","","","","","","","2021-01-28"
"1","downloads","31","ios","","","","","","","2021-01-28"
"1","downloads","2","web","","","","","","","2021-01-28"
"1","downloads","17","android","","","","","","","2021-01-29"
"1","downloads","37","ios","","","","","","","2021-01-29"
"1","downloads","3","web","","","","","","","2021-01-29"
"1","downloads","21","android","","","","","","","2021-01-30"
"1","downloads","35","ios","","","","","","","2021-01-30"
"1","downloads","8","web","","","","","","","2021-01-30"
"1","downloads","20","android","","","","","","","2021-01-31"
"1","downloads","45","ios","","","","","","","2021-01-31"
"1","downloads","9","web","","","","","","","2021-01-31"
"1","downloads","17","android","","","","","","","2021-02-01"
"1","downloads","36","ios","","","","","","","2021-02-01"
"1","downloads","12","web","","","","","","","2021-02-01"
"1","downloads","21","android","","","","","","","2021-02-02"
"1","downloads","51","ios","","","","","","","2021-02-02"
"1","downloads","6","web","","","","","","","2021-02-02"
"1","downloads","16","android","","","","","","","2021-02-03"
"1","downloads","36","ios","","","","","","","2021-02-03"
"1","downloads","4","web","","","","","","","2021-02-03"
"1","downloads","27","android","","","","","","","2021-02-04"
"1","downloads","53","ios","","","","","","","2021-02-04"
"1","downloads","5","web","","","","","","","2021-02-04"
"1","downloads","11","android","","","","","","","2021-02-05"
"1","downloads","42","ios","","","","","","","2021-02-05"
"1","downloads","10","web","","","","","","","2021-02-05"
"1","downloads","16","android","","","","","","","2021-02-06"
"1","downloads","39","ios","","","","","","","2021-02-06"
"1","downloads","1","web","","","","","","","2021-02-06"
"1","downloads","26","android","","","","","","","2021-02-07"
"1","downloads","36","ios","","","","","","","2021-02-07"
"1","downloads","3","web","","","","","","","2021-02-07"
"1","downloads","20","android","","","","","","","2021-02-08"
"1","downloads","42","ios","","","","","","","2021-02-08"
"1","downloads","8","web","","","","","","","2021-02-08"
"1","downloads","18","android","","","","","","","2021-02-09"
"1","downloads","39","ios","","","","","","","2021-02-09"
"1","downloads","9","web","","","","","","","2021-02-09"
"1","downloads","18","android","","","","","","","2021-02-10"
"1","downloads","30","ios","","","","","","","2021-02-10"
"1","downloads","8","web","","","","","","","2021-02-10"
"1","downloads","13","android","","","","","","","2021-02-11"
"1","downloads","58","ios","","","","","","","2021-02-11"
"1","downloads","6","web","","","","","","","2021-02-11"
"1","downloads","18","android","","","","","","","2021-02-12"
"1","downloads","43","ios","","","","","","","2021-02-12"
"1","downloads","8","web","","","","","","","2021-02-12"
"1","downloads","29","android","","","","","","","2021-02-13"
"1","downloads","38","ios","","","","","","","2021-02-13"
"1","downloads","7","web","","","","","","","2021-02-13"
"1","downloads","22","android","","","","","","","2021-02-14"
"1","downloads","31","ios","","","","","","","2021-02-14"
"1","downloads","9","web","","","","","","","2021-02-14"
"1","downloads","17","android","","","","","","","2021-02-15"
"1","downloads","37","ios","","","","","","","2021-02-15"
"1","downloads","5","web","","","","","","","2021-02-15"
"1","downloads","12","android","","","","","","","2021-02-16"
"1","downloads","51","ios","","","","","","","2021-02-16"
"1","downloads","7","web","","","","","","","2021-02-16"
"1","downloads","27","android","","","","","","","2021-02-17"
"1","downloads","36","ios","","","","","","","2021-02-17"
"1","downloads","4","web","","","","","","","2021-02-17"
"1","downloads","23","android","","","","","","","2021-02-18"
"1","downloads","40","ios","","","","","","","2021-02-18"
"1","downloads","7","web","","","","","","","2021-02-18"
"1","downloads","20","android","","","","","","","2021-02-19"
"1","downloads","37","ios","","","","","","","2021-02-19"
"1","downloads","10","web","","","","","","","2021-02-19"
"1","downloads","26","android","","","","","","","2021-02-20"
"1","downloads","32","ios","","","","","","","2021-02-20"
"1","downloads","9","web","","","","","","","2021-02-20"
"1","downloads","20","android","","","","","","","2021-02-21"
"1","downloads","26","ios","","","","","","","2021-02-21"
"1","downloads","6","web","","","","","","","2021-02-21"
"1","downloads","11","android","","","","","","","2021-02-22"
"1","downloads","38","ios","","","","","","","2021-02-22"
"1","downloads","10","web","","","","","","","2021-02-22"
"1","downloads","17","android","","","","","","","2021-02-23"
"1","downloads","34","ios","","","","","","","2021-02-23"
"1","downloads","8","web","","","","","","","2021-02-23"
"1","downloads","22","android","","","","","","","2021-02-24"
"1","downloads","36","ios","","","","","","","2021-02-24"
"1","downloads","4","web","","","","","","","2021-02-24"
"1","downloads","24","android","","","","","","","2021-02-25"
"1","downloads","47","ios","","","","","","","2021-02-25"
"1","downloads","3","web","","","","","","","2021-02-25"
"1","downloads","16","android","","","","","","","2021-02-26"
"1","downloads","36","ios","","","","","","","2021-02-26"
"1","downloads","7","web","","","","","","","2021-02-26"
"1","downloads","21","android","","","","","","","2021-02-27"
"1","downloads","37","ios","","","","","","","2021-02-27"
"1","downloads","8","web","","","","","","","2021-02-27"
"1","downloads","17","android","","","","","","","2021-02-28"
"1","downloads","30","ios","","","","","","","2021-02-28"
"1","downloads","11","web","","","","","","","2021-02-28"
"1","downloads","23","android","","","","","","","2021-03-01"
"1","downloads","30","ios","","","","","","","2021-03-01"
"1","downloads","5","web","","","","","","","2021-03-01"
"1","downloads","25","android","","","","","","","2021-03-02"
"1","downloads","30","ios","","","","","","","2021-03-02"
"1","downloads","5","web","","","","","","","2021-03-02"
"1","downloads","23","android","","","","","","","2021-03-03"
"1","downloads","43","ios","","","","","","","2021-03-03"
"1","downloads","4","web","","","","","","","2021-03-03"
"1","downloads","6","android","","","","","","","2021-03-04"
"1","downloads","44","ios","","","","","","","2021-03-04"
"1","downloads","7","web","","","","","","","2021-03-04"
"1","downloads","19","android","","","","","","","2021-03-05"
"1","downloads","32","ios","","","","","","","2021-03-05"
"1","downloads","15","web","","","","","","","2021-03-05"
"1","downloads","20","android","","","","","","","2021-03-06"
"1","downloads","38","ios","","","","","","","2021-03-06"
"1","downloads","4","web","","","","","","","2021-03-06"
"1","downloads","25","android","","","","","","","2021-03-07"
"1","downloads","32","ios","","","","","","","2021-03-07"
"1","downloads","3","web","","","","","","","2021-03-07"
"1","downloads","18","android","","","","","","","2021-03-08"
"1","downloads","34","ios","","","","","","","2021-03-08"
"1","downloads","8","web","","","","","","","2021-03-08"
"1","downloads","16","android","","","","","","","2021-03-09"
"1","downloads","39","ios","","","","","","","2021-03-09"
"1","downloads","9","web","","","","","","","2021-03-09"
"1","downloads","11","android","","","","","","","2021-03-10"
"1","downloads","44","ios","","","","","","","2021-03-10"
"1","downloads","5","web","","","","","","","2021-03-10"
"1","downloads","21","android","","","","","","","2021-03-11"
"1","downloads","44","ios","","","","","","","2021-03-11"
"1","downloads","5","web","","","","","","","2021-03-11"
"1","downloads","19","android","","","","","","","2021-03-12"
"1","downloads","36","ios","","","","","","","2021-03-12"
"1","downloads","8","web","","","","","","","2021-03-12"
"1","downloads","19","android","","","","","","","2021-03-13"
"1","downloads","51","ios","","","","","","","2021-03-13"
"1","downloads","5","web","","","","","","","2021-03-13"
"1","downloads","20","android","","","","","","","2021-03-14"
"1","downloads","43","ios","","","","","","","2021-03-14"
"1","downloads","6","web","","","","","","","2021-03-14"
"1","downloads","17","android","","","","","","","2021-03-15"
"1","downloads","42","ios","","","","","","","2021-03-15"
"1","downloads","4","web","","","","","","","2021-03-15"
"1","downloads","25","android","","","","","","","2021-03-16"
"1","downloads","40","ios","","","","","","","2021-03-16"
"1","downloads","4","web","","","","","","","2021-03-16"
"1","downloads","17","android","","","","","","","2021-03-17"
"1","downloads","33","ios","","","","","","","2021-03-17"
"1","downloads","6","web","","","","","","","2021-03-17"
"1","downloads","17","android","","","","","","","2021-03-18"
"1","downloads","49","ios","","","","","","","2021-03-18"
"1","downloads","3","web","","","","","","","2021-03-18"
"1","downloads","23","android","","","","","","","2021-03-19"
"1","downloads","30","ios","","","","","","","2021-03-19"
"1","downloads","7","web","","","","","","","2021-03-19"
"1","downloads","11","android","","","","","","","2021-03-20"
"1","downloads","38","ios","","","","","","","2021-03-20"
"1","downloads","9","web","","","","","","","2021-03-20"
"1","downloads","18","android","","","","","","","2021-03-21"
"1","downloads","38","ios","","","","","","","2021-03-21"
"1","downloads","4","web","","","","","","","2021-03-21"
"1","downloads","18","android","","","","","","","2021-03-22"
"1","downloads","21","ios","","","","","","","2021-03-22"
"1","downloads","2","web","","","","","","","2021-03-22"
"1","downloads","17","android","","","","","","","2021-03-23"
"1","downloads","34","ios","","","","","","","2021-03-23"
"1","downloads","9","web","","","","","","","2021-03-23"
"1","downloads","18","android","","","","","","","2021-03-24"
"1","downloads","37","ios","","","","","","","2021-03-24"
"1","downloads","6","web","","","","","","","2021-03-24"
"1","downloads","20","android","","","","","","","2021-03-25"
"1","downloads","50","ios","","","","","","","2021-03-25"
"1","downloads","6","web","","","","","","","2021-03-25"
"1","downloads","28","android","","","","","","","2021-03-26"
"1","downloads","42","ios","","","","","","","2021-03-26"
"1","downloads","5","web","","","","","","","2021-03-26"
"1","downloads","25","android","","","","","","","2021-03-27"
"1","downloads","40","ios","","","","","","","2021-03-27"
