"driver_id","total_rides","total_users","rides_completed","rides_canceled","reviews","avg_ratings"
"100349","8","8","8","0","1","5.00"
"100360","9","9","8","1","1","5.00"
"101070","5","5","4","1","1","5.00"
"101755","6","6","4","2","1","5.00"
"101954","3","3","3","0","1","5.00"
"102261","7","7","4","3","1","5.00"
"103129","9","9","5","4","2","5.00"
"103422","9","9","6","3","4","5.00"
"103927","14","14","10","4","5","5.00"
"104391","8","8","7","1","5","5.00"
"106361","12","12","11","1","4","5.00"
"107206","6","6","6","0","3","5.00"
"107254","11","11","6","5","2","5.00"
"108785","9","9","6","3","3","5.00"
"111777","8","8","8","0","5","5.00"
"113708","8","8","8","0","4","5.00"
"114357","9","9","9","0","6","5.00"
"117611","2","2","2","0","1","5.00"
"113218","14","14","13","1","7","4.92"
"116050","12","12","9","3","5","4.88"
"112440","7","7","6","1","4","4.84"
"101369","11","11","11","0","7","4.83"
"116706","8","8","7","1","4","4.83"
"117437","9","9","8","1","4","4.83"
"104760","11","11","10","1","6","4.80"
"104918","14","14","11","3","5","4.80"
"111184","10","10","8","2","7","4.80"
"101836","11","11","11","0","6","4.75"
"103800","7","7","7","0","4","4.75"
"104032","6","6","6","0","4","4.75"
"104582","12","12","7","5","5","4.75"
"105195","8","8","8","0","6","4.75"
"107074","12","12","12","0","8","4.75"
"107127","13","13","12","1","4","4.75"
"107513","7","7","6","1","3","4.75"
"107772","7","7","7","0","4","4.75"
"108426","5","5","4","1","3","4.75"
"110190","14","14","10","4","4","4.75"
"110614","14","14","13","1","6","4.75"
"111085","7","7","6","1","3","4.75"
"114686","11","11","10","1","4","4.75"
"117236","12","12","10","2","5","4.75"
"117286","11","11","9","2","6","4.75"
"105343","14","14","12","2","9","4.72"
"106368","13","13","12","1","8","4.71"
"116281","16","16","16","0","10","4.71"
"104701","18","18","14","4","6","4.70"
"111131","13","13","10","3","6","4.70"
"111474","12","12","10","2","6","4.70"
"112309","13","13","12","1","7","4.70"
"116079","10","10","9","1","8","4.70"
"101291","18","18","17","1","10","4.69"
"100810","9","9","7","2","3","4.67"
"101935","14","14","13","1","7","4.67"
"102041","11","11","11","0","4","4.67"
"103967","6","6","4","2","3","4.67"
"104181","15","15","14","1","7","4.67"
"104280","6","6","4","2","4","4.67"
"104808","5","5","4","1","4","4.67"
"104833","10","10","10","0","3","4.67"
"104861","8","8","8","0","3","4.67"
"105436","12","12","12","0","9","4.67"
"105662","7","7","6","1","4","4.67"
"107807","12","12","8","4","5","4.67"
"110426","12","12","9","3","6","4.67"
"110890","14","14","13","1","4","4.67"
"111075","9","9","9","0","8","4.67"
"111304","10","10","8","2","4","4.67"
"112420","14","14","11","3","8","4.67"
"112764","12","12","9","3","6","4.67"
"113250","7","7","4","3","3","4.67"
"115756","16","16","11","5","7","4.67"
"117473","9","9","6","3","3","4.67"
"117504","12","12","11","1","7","4.67"
"113135","15","15","14","1","11","4.65"
"100817","16","16","14","2","9","4.64"
"100370","13","13","10","3","5","4.63"
"102290","9","9","9","0","5","4.63"
"103627","12","12","12","0","5","4.63"
"106112","13","13","11","2","8","4.63"
"107915","9","9","8","1","5","4.63"
"109714","12","12","8","4","8","4.63"
"111798","9","9","6","3","6","4.63"
"114080","12","12","9","3","5","4.63"
"114878","10","10","9","1","5","4.63"
"115271","10","10","10","0","8","4.63"
"116857","13","13","11","2","7","4.63"
"100024","8","8","8","0","5","4.60"
"100199","11","11","10","1","7","4.60"
"107151","8","8","7","1","6","4.60"
"107347","12","12","11","1","7","4.60"
"111484","10","10","9","1","6","4.60"
"111494","11","11","11","0","6","4.60"
"113072","9","9","9","0","6","4.60"
"114134","9","9","8","1","5","4.60"
"115762","8","8","6","2","6","4.60"
"117488","11","11","9","2","6","4.60"
"101822","10","10","9","1","7","4.58"
"109730","8","8","8","0","6","4.58"
"110512","12","12","12","0","8","4.58"
"110817","9","9","7","2","6","4.58"
"114396","13","13","12","1","7","4.58"
"104196","15","15","12","3","12","4.57"
"109566","12","12","12","0","10","4.57"
"105884","7","7","6","1","5","4.56"
"113186","16","16","16","0","10","4.56"
"103562","13","13","12","1","8","4.55"
"109412","16","16","16","0","13","4.55"
"117039","14","14","13","1","8","4.55"
"101261","14","14","13","1","7","4.54"
"101884","11","11","11","0","9","4.54"
"103022","12","12","9","3","9","4.53"
"103202","13","13","12","1","7","4.53"
"104473","17","17","16","1","8","4.53"
"108382","16","16","14","2","9","4.53"
"113008","17","17","15","2","7","4.53"
"113371","15","15","13","2","11","4.53"
"109374","11","11","11","0","10","4.52"
"112334","17","17","16","1","11","4.52"
"117259","15","15","13","2","9","4.52"
"117363","15","15","12","3","10","4.52"
"100164","12","12","11","1","8","4.50"
"100219","13","13","11","2","4","4.50"
"100256","11","11","8","3","2","4.50"
"100746","13","13","10","3","9","4.50"
"100764","7","7","7","0","5","4.50"
"101723","15","15","13","2","9","4.50"
"102330","4","4","4","0","2","4.50"
"103181","8","8","6","2","6","4.50"
"103209","10","10","9","1","6","4.50"
"103232","13","13","12","1","7","4.50"
"103238","6","6","6","0","2","4.50"
"103833","15","15","12","3","7","4.50"
"104013","10","10","9","1","4","4.50"
"104217","10","10","10","0","6","4.50"
"104315","11","11","9","2","8","4.50"
"104952","19","19","15","4","6","4.50"
"105330","8","8","8","0","4","4.50"
"105412","9","9","9","0","8","4.50"
"105419","12","12","11","1","6","4.50"
"105445","11","11","8","3","2","4.50"
"105534","8","8","6","2","3","4.50"
"106234","8","8","8","0","2","4.50"
"106429","11","11","9","2","3","4.50"
"106458","10","10","9","1","4","4.50"
"106589","12","12","12","0","9","4.50"
"106698","7","7","6","1","4","4.50"
"107118","11","11","10","1","5","4.50"
"107251","11","11","10","1","8","4.50"
"107495","10","10","9","1","7","4.50"
"107843","11","11","8","3","4","4.50"
"108102","12","12","11","1","9","4.50"
"109878","18","18","16","2","11","4.50"
"109916","4","4","4","0","3","4.50"
"109954","8","8","6","2","4","4.50"
"110115","13","13","12","1","9","4.50"
"110161","8","8","8","0","4","4.50"
"110272","9","9","8","1","7","4.50"
"110362","7","7","6","1","5","4.50"
"110516","11","11","10","1","9","4.50"
"110630","3","3","3","0","3","4.50"
"110703","5","5","5","0","4","4.50"
"110943","8","8","5","3","2","4.50"
"111079","12","12","10","2","4","4.50"
"111262","13","13","12","1","4","4.50"
"111547","9","9","7","2","2","4.50"
"111750","9","9","9","0","6","4.50"
"111888","10","10","8","2","5","4.50"
"112185","9","9","8","1","7","4.50"
"112657","9","9","8","1","4","4.50"
"113516","5","5","4","1","3","4.50"
"113972","14","14","12","2","6","4.50"
"114143","7","7","5","2","4","4.50"
"114282","5","5","5","0","4","4.50"
"114462","10","10","9","1","6","4.50"
"114940","13","13","13","0","4","4.50"
"114996","11","11","11","0","7","4.50"
"115476","9","9","8","1","2","4.50"
"115697","11","11","10","1","4","4.50"
"115705","4","4","4","0","2","4.50"
"115862","12","12","11","1","8","4.50"
"116059","7","7","6","1","3","4.50"
"116081","8","8","6","2","3","4.50"
"116366","9","9","9","0","7","4.50"
"116421","7","7","5","2","3","4.50"
"116614","8","8","8","0","5","4.50"
"117357","8","8","8","0","5","4.50"
"117507","14","14","12","2","5","4.50"
"117513","5","5","5","0","4","4.50"
"103410","22","22","21","1","15","4.48"
"101338","11","11","10","1","7","4.47"
"109080","17","17","16","1","13","4.47"
"113405","13","13","11","2","8","4.47"
"107921","18","18","17","1","14","4.46"
"111764","15","15","14","1","7","4.46"
"114790","19","19","16","3","9","4.46"
"100757","19","19","14","5","8","4.45"
"108962","18","18","17","1","11","4.45"
"111892","12","12","10","2","8","4.45"
"114320","11","11","11","0","11","4.45"
"101997","12","12","10","2","8","4.44"
"103281","11","11","10","1","5","4.44"
"106774","16","16","14","2","8","4.44"
"115340","15","15","13","2","8","4.44"
"100138","15","15","15","0","10","4.43"
"102343","11","11","11","0","8","4.43"
"105402","17","17","14","3","8","4.43"
"110277","14","14","11","3","7","4.43"
"113614","14","14","13","1","8","4.43"
"114318","14","14","14","0","13","4.43"
"101071","13","13","13","0","7","4.42"
"102861","12","12","10","2","9","4.42"
"104643","17","17","14","3","10","4.42"
"105502","19","19","15","4","6","4.42"
"105716","11","11","9","2","6","4.42"
"105957","12","12","11","1","7","4.42"
"106261","11","11","11","0","6","4.42"
"109355","12","12","11","1","7","4.42"
"109873","19","18","17","2","9","4.42"
"110919","16","16","14","2","8","4.42"
"112476","11","11","10","1","6","4.42"
"114913","15","15","14","1","7","4.42"
"102183","10","10","9","1","5","4.40"
"102966","11","11","10","1","5","4.40"
"102977","11","11","10","1","5","4.40"
"107264","11","11","10","1","9","4.40"
"108150","8","8","8","0","7","4.40"
"109098","13","13","12","1","6","4.40"
"109165","11","11","10","1","6","4.40"
"109436","14","14","11","3","7","4.40"
"110165","11","11","11","0","6","4.40"
"111031","13","13","11","2","9","4.40"
"111751","11","11","10","1","6","4.40"
"112695","13","13","11","2","8","4.40"
"113144","17","17","15","2","9","4.40"
"114108","13","13","10","3","7","4.40"
"114518","11","11","9","2","6","4.40"
"103841","13","13","13","0","9","4.39"
"107792","14","14","13","1","8","4.39"
"100255","10","10","8","2","5","4.38"
"101031","14","14","13","1","6","4.38"
"101191","9","9","8","1","5","4.38"
"102694","7","7","7","0","5","4.38"
"103134","17","17","14","3","10","4.38"
"104489","8","8","8","0","5","4.38"
