"user_id","unique_drivers","unique_rides","decline_count","avg_rating","lost_total_usd","gained_total_usd"
"101851","41","41","9","3.33","191.25000000000003","581.16"
"105869","35","35","8","","175.29","552.5100000000001"
"115019","41","41","8","3.38","191.38000000000002","657.55"
"113264","47","47","8","2.75","194.06","749.0200000000002"
"102747","38","38","8","3.75","142.18","597.6299999999999"
"110409","28","28","7","2.43","135.52","451.21000000000004"
"113267","35","35","7","2.71","141.78000000000003","541.43"
"110860","40","40","7","3.29","137.77","692.8499999999999"
"117265","39","39","7","3.86","138.28","610.6800000000001"
"105931","42","42","7","","129.94","773.6"
"103723","46","47","7","","136.87","829.28"
"113139","33","33","7","3.14","136.94","509.94000000000005"
"114889","39","39","7","2.71","137.75","635.1400000000001"
"100936","46","46","7","3.29","138.76999999999998","717.8900000000001"
"110552","37","37","7","","143.32","606.58"
"101504","46","46","6","2.83","129.88","785.3799999999999"
"113930","45","45","6","3.17","144.36","781.11"
"108929","27","27","6","2.50","109.46","472.1600000000001"
"116399","32","32","6","","125.28","563.0100000000002"
"100901","33","33","6","","95.59000000000002","524.6399999999999"
"116740","40","40","6","3.33","122.67999999999999","667.2800000000003"
"111629","45","45","6","","126.71000000000001","816.0799999999999"
"102187","46","46","6","2.67","111.35999999999999","744.8300000000002"
"101737","37","37","6","3.17","137.72","657.3699999999999"
"103954","37","37","6","2.83","101.92000000000002","664.57"
"115360","44","44","6","","115.35000000000001","810.5799999999998"
"108449","43","43","6","","148.18","746.38"
"114580","46","46","6","","124.72999999999999","789.2"
"116936","38","38","6","","104.28","623.1399999999999"
"104503","41","41","6","2.50","104.52000000000001","718.9899999999998"
"112176","44","44","6","2.00","128.39","746.19"
"112310","45","45","6","3.67","134.18","777.0600000000001"
"116855","34","34","6","1.33","97.22999999999999","611.2499999999999"
"112587","41","41","6","2.50","110.22999999999999","766.48"
"107621","42","42","6","","112.71000000000001","707.4299999999997"
"106721","47","47","6","2.83","123.69000000000001","755.1099999999998"
"107616","40","40","6","","132.64","715.9299999999998"
"117427","50","50","6","4.00","112.6","872.7400000000001"
"105090","42","42","6","3.33","135.63","657.7800000000001"
"117375","39","39","6","3.83","130.36999999999998","658.7200000000001"
"100709","40","41","6","3.17","116.05999999999999","688.4"
"116227","39","39","6","3.17","137.97","650.5400000000001"
"105506","31","31","6","3.50","120.97000000000001","494.87999999999994"
"104992","31","31","6","","105.12","495.6899999999999"
"109565","40","40","6","3.67","136.85","718.0699999999998"
"114239","36","36","6","","124.27000000000001","615.32"
"110017","37","37","6","2.67","117.69999999999999","575.78"
"108083","44","44","6","3.33","110.85999999999999","731.4"
"116840","40","40","6","2.33","108.63","757.0099999999999"
"115890","32","32","6","","104.82000000000001","502.38"
"101990","39","39","6","2.83","104.4","664.61"
"110471","38","38","6","3.00","89.78","609.78"
"116816","37","37","6","","122.97","605.0299999999999"
"109587","41","41","6","2.67","125.8","706.2600000000001"
"107027","40","40","6","","123.14999999999999","648.9200000000001"
"109208","49","49","6","2.67","114.94999999999999","966.7299999999999"
"105188","38","38","6","","114.06","596.5699999999999"
"105781","40","40","6","","92.77","658.3400000000001"
"101314","44","44","6","","123.03","814.2900000000003"
"111255","38","38","6","4.50","131.68","566.02"
"106228","36","36","6","3.00","104.25","664.5700000000002"
"111071","40","40","5","3.60","84.96","687.0999999999997"
"105613","47","47","5","3.80","111.68","845.19"
"110876","43","43","5","3.80","81.36","779.7500000000001"
"102801","51","51","5","2.20","101.27","946.1499999999999"
"100331","46","46","5","3.60","78.92","819.52"
"110769","49","49","5","","82.16","888.4900000000001"
"117167","39","39","5","","103.69999999999999","695.8199999999999"
"104874","31","31","5","2.80","78.89999999999999","563.32"
"115968","32","32","5","3.60","99.00999999999999","587.9700000000001"
"115957","38","38","5","","103.66","680.7899999999997"
"104445","47","47","5","2.40","99.56","851.8400000000001"
"108708","41","41","5","","101.92","729.3099999999997"
"104083","43","43","5","3.00","92.52","729.68"
"104063","31","31","5","1.80","80.42","497.62999999999994"
"115845","36","36","5","","71.91000000000001","631.01"
"100223","33","33","5","1.80","102.52000000000001","528.9100000000001"
"109145","33","33","5","3.20","96.25","595.75"
"109603","44","44","5","4.60","105.10999999999999","786.9999999999999"
"104674","43","43","5","3.20","124.45","763.2999999999998"
"108020","32","32","5","","99.47","561.7699999999999"
"115730","37","37","5","","91.31","633.8100000000002"
"115721","36","36","5","3.20","88.38","663.3800000000002"
"107942","51","51","5","2.20","100.76999999999998","947.9900000000005"
"102195","39","39","5","2.80","108.03","734.06"
"104569","33","33","5","3.00","101.49000000000001","569.6300000000001"
"107906","38","38","5","3.00","83.39999999999999","619.42"
"115640","48","48","5","2.80","74.29","857.0999999999998"
"115310","34","34","5","4.00","99.86","562.5100000000001"
"107712","44","44","5","3.00","77.02000000000001","752.6100000000001"
"107667","35","35","5","2.80","118.81000000000002","534.2"
"115150","34","36","5","3.00","95.47","644.1899999999999"
"117048","47","47","5","2.60","87.08000000000001","844.91"
"117511","39","39","5","2.60","96.31000000000002","711.78"
"104402","32","32","5","3.80","112.44999999999999","536.8400000000001"
"103859","40","40","5","3.80","113.05000000000001","732.6800000000001"
"107570","52","52","5","","108.3","968.9999999999999"
"100839","43","43","5","3.00","106.62","711.24"
"117024","35","35","5","","100.28999999999999","608.5999999999999"
"103855","43","44","5","2.40","118.08","764.0899999999999"
"109772","44","44","5","2.80","104.24000000000001","838.41"
"109202","46","46","5","","90.21","835.4599999999999"
"103851","36","36","5","2.80","121.89","673.3999999999999"
"114995","35","35","5","4.80","106.03999999999999","582.89"
"109787","52","52","5","","121.31","865.5699999999999"
"105003","37","37","5","3.60","118.46","663.4499999999999"
"103833","47","47","5","3.20","118.54","853.1099999999999"
