"user_id","total_rides","rides_completed","rides_canceled"
"100000","26","0","26"
"100001","23","0","23"
"100002","37","37","0"
"100004","32","32","0"
"100006","28","0","28"
"100007","28","28","0"
"100008","42","42","0"
"100009","21","0","21"
"100010","44","44","0"
"100012","36","36","0"
"100013","26","0","26"
"100014","37","37","0"
"100015","34","34","0"
"100016","47","47","0"
"100018","28","0","28"
"100020","32","32","0"
"100021","23","0","23"
"100022","37","37","0"
"100023","25","0","25"
"100024","35","35","0"
"100025","25","0","25"
"100026","44","44","0"
"100027","35","0","35"
"100028","43","43","0"
"100029","32","0","32"
"100030","45","45","0"
"100032","32","32","0"
"100033","45","45","0"
"100034","22","0","22"
"100035","28","0","28"
"100037","47","47","0"
"100038","25","0","25"
"100039","28","0","28"
"100040","27","27","0"
"100041","34","34","0"
"100043","36","0","36"
"100044","19","0","19"
"100047","39","39","0"
"100048","23","23","0"
"100050","31","31","0"
"100052","44","44","0"
"100053","28","0","28"
"100054","40","40","0"
"100057","40","40","0"
"100059","45","45","0"
"100060","18","0","18"
"100061","43","43","0"
"100062","35","35","0"
"100063","38","38","0"
"100065","34","34","0"
"100066","22","22","0"
"100067","27","27","0"
"100068","33","0","33"
"100069","31","0","31"
"100071","29","29","0"
"100072","41","41","0"
"100073","26","0","26"
"100074","38","38","0"
"100075","36","36","0"
"100076","28","28","0"
"100078","30","0","30"
"100079","26","26","0"
"100080","25","0","25"
"100082","32","32","0"
"100083","28","28","0"
"100084","33","33","0"
"100086","32","32","0"
"100087","32","32","0"
"100088","25","0","25"
"100089","30","0","30"
"100090","42","42","0"
"100091","19","0","19"
"100094","31","31","0"
"100096","40","40","0"
"100097","25","0","25"
"100098","32","0","32"
"100099","35","35","0"
"100100","27","0","27"
"100101","30","0","30"
"100102","41","41","0"
"100103","22","22","0"
"100104","34","34","0"
"100105","31","0","31"
"100106","51","51","0"
"100107","30","0","30"
"100108","28","0","28"
"100109","38","38","0"
"100111","36","36","0"
"100114","34","34","0"
"100115","37","37","0"
"100116","40","40","0"
"100117","22","0","22"
"100121","25","25","0"
"100122","41","41","0"
"100123","33","33","0"
"100124","22","0","22"
"100127","34","34","0"
"100129","39","39","0"
"100130","22","0","22"
"100135","31","31","0"
"100136","23","0","23"
"100137","38","38","0"
"100138","28","0","28"
"100139","35","35","0"
"100140","35","0","35"
"100141","46","46","0"
"100142","35","35","0"
"100143","38","38","0"
"100144","35","35","0"
"100145","18","0","18"
"100146","29","29","0"
"100149","37","0","37"
"100151","21","0","21"
"100155","28","0","28"
"100158","29","0","29"
"100159","32","0","32"
"100161","26","0","26"
"100162","26","0","26"
"100163","43","43","0"
"100165","30","30","0"
"100166","35","0","35"
"100167","33","33","0"
"100168","34","34","0"
"100169","43","43","0"
"100170","27","0","27"
"100171","47","47","0"
"100173","39","39","0"
"100174","20","0","20"
"100176","18","0","18"
"100177","26","0","26"
"100178","41","41","0"
"100180","21","0","21"
"100181","18","0","18"
"100182","34","34","0"
"100184","31","31","0"
"100185","48","48","0"
"100186","25","0","25"
"100187","27","0","27"
"100188","29","0","29"
"100189","34","34","0"
"100190","34","34","0"
"100191","25","0","25"
"100194","31","0","31"
"100196","21","0","21"
"100198","29","0","29"
"100201","36","36","0"
"100202","28","0","28"
"100203","30","30","0"
"100204","16","0","16"
"100205","43","43","0"
"100207","34","34","0"
"100208","14","0","14"
"100209","40","40","0"
"100210","30","0","30"
"100211","37","37","0"
"100212","27","0","27"
